ID,Hours,Date,Machine ID,Department,MSEB Zone,KWH Reading,Consumption,P_F,Parts Produced,Molten Metal,Batch ID,Cost of Energy,KWH_Tonne,KWH_part
1,0,2024-07-30,MM1,Moulding,Zone A,1044,17,0.89,48.0,0.0,0,85,0.0,0.3541666666666667
2,1,2024-07-30,MM1,Moulding,Zone A,1061,17,0.86,57.0,0.0,0,85,0.0,0.2982456140350877
3,2,2024-07-30,MM1,Moulding,Zone A,1081,20,0.89,45.0,0.0,0,100,0.0,0.4444444444444444
4,3,2024-07-30,MM1,Moulding,Zone A,1097,16,0.87,47.0,0.0,0,80,0.0,0.3404255319148936
5,4,2024-07-30,MM1,Moulding,Zone A,1112,15,0.85,60.0,0.0,0,75,0.0,0.25
6,5,2024-07-30,MM1,Moulding,Zone A,1130,18,0.86,57.0,0.0,0,90,0.0,0.3157894736842105
7,6,2024-07-30,MM1,Moulding,Zone B,1148,18,0.88,50.0,0.0,0,126,0.0,0.36
8,7,2024-07-30,MM1,Moulding,Zone B,1165,17,0.89,45.0,0.0,0,119,0.0,0.3777777777777778
9,8,2024-07-30,MM1,Moulding,Zone B,1185,20,0.9,59.0,0.0,0,140,0.0,0.3389830508474576
10,9,2024-07-30,MM1,Moulding,Zone C,1201,16,0.89,52.0,0.0,0,144,0.0,0.3076923076923077
11,10,2024-07-30,MM1,Moulding,Zone C,1217,16,0.88,52.0,0.0,0,144,0.0,0.3076923076923077
12,11,2024-07-30,MM1,Moulding,Zone C,1236,19,0.87,56.0,0.0,0,171,0.0,0.3392857142857143
13,12,2024-07-30,MM1,Moulding,Zone B,1254,18,0.86,59.0,0.0,0,126,0.0,0.3050847457627119
14,13,2024-07-30,MM1,Moulding,Zone B,1273,19,0.85,57.0,0.0,0,133,0.0,0.3333333333333333
15,14,2024-07-30,MM1,Moulding,Zone B,1292,19,0.86,46.0,0.0,0,133,0.0,0.4130434782608696
16,15,2024-07-30,MM1,Moulding,Zone B,1311,19,0.89,45.0,0.0,0,133,0.0,0.4222222222222222
17,16,2024-07-30,MM1,Moulding,Zone B,1331,20,0.87,55.0,0.0,0,140,0.0,0.3636363636363636
18,17,2024-07-30,MM1,Moulding,Zone B,1347,16,0.88,48.0,0.0,0,112,0.0,0.3333333333333333
19,18,2024-07-30,MM1,Moulding,Zone D,1364,17,0.85,47.0,0.0,0,187,0.0,0.3617021276595745
20,19,2024-07-30,MM1,Moulding,Zone D,1382,18,0.86,50.0,0.0,0,198,0.0,0.36
21,20,2024-07-30,MM1,Moulding,Zone D,1401,19,0.85,48.0,0.0,0,209,0.0,0.3958333333333333
22,21,2024-07-30,MM1,Moulding,Zone D,1417,16,0.85,56.0,0.0,0,176,0.0,0.2857142857142857
23,22,2024-07-30,MM1,Moulding,Zone A,1435,18,0.88,53.0,0.0,0,90,0.0,0.3396226415094339
